Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Window Size,SW Step Size,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon
Zheng DBSCAN,without_noise,log_46_1687181991,,,,,"[808.0, 2418.0, 3893.0]","[808, 1008, 2422, 3892]",0.8571428571428571,1.6666666666666667,00:00:02,2.090666458941996,0.00045174296865643825,,,,,,300.0,150.0
LCDD,without_noise,log_39_1687181976,,,,,"[494, 936, 1304, 1798, 2098, 2420, 2787, 3144, 3444, 3789]","[706, 972, 2184, 3059, 3368]",0.5333333333333333,70.75,00:00:00,0.2709087245166302,6.45789569765507e-05,,,300.0,300.0,200.0,,
Maaradji Runs,without_noise,log_11_1687181931,,,,,[916],[1012],1.0,96.0,00:00:00,0.33934440556913614,0.000200203189126334,300.0,2.0,,,,,
Process Graph Metrics,without_noise,log_9_1687181928,0.05,400.0,400.0,,"[1186, 2126, 2944]","[1135, 1916, 2696, 2989]",0.5714285714285715,48.0,00:00:05,5.21339684445411,0.001162148204292044,,,,,,,
LCDD,without_noise,log_1_1687181916,,,,,"[1291, 2436]","[1292, 2437, 3613]",0.8,1.0,00:00:00,0.3261626772582531,6.878166960317443e-05,,,300.0,300.0,10.0,,
LCDD,without_noise,log_58_1687182010,,,,,[566],[566],1.0,0.0,00:00:00,0.03611699026077986,2.180977672752407e-05,,,100.0,100.0,20.0,,
Process Graph Metrics,without_noise,log_59_1687182010,0.005,400.0,500.0,,"[1070, 2218, 3204]","[788, 1187, 2051, 3036, 3241]",0.7499999999999999,107.0,00:00:32,32.67135911155492,0.008455320681044234,,,,,,,
Process Graph Metrics,without_noise,log_81_1687182043,0.1,400.0,500.0,,[876],"[751, 1119]",0.6666666666666666,125.0,00:00:07,7.522516953758895,0.004092773097801357,,,,,,,
Martjushev ADWIN J,without_noise,log_18_1687181937,0.4,300.0,500.0,10.0,[],"[1013, 1325]",,,00:00:38,38.54917562752962,0.018269751482241525,,,,,,,
Martjushev ADWIN J,without_noise,log_73_1687182035,0.4,300.0,400.0,50.0,"[1499, 2450]","[1478, 2417, 2951, 3283]",0.6666666666666666,27.0,00:00:09,9.302584672346711,0.002089529351380663,,,,,,,
Maaradji Runs,without_noise,log_40_1687181982,,,,,"[1192, 2102, 3430]","[1205, 2115, 3442]",1.0,12.666666666666666,00:00:01,1.6213681427761912,0.0003607048148556599,50.0,2.0,,,,,
LCDD,without_noise,log_25_1687181949,,,,,"[200, 423, 674, 927, 1127, 1327, 1585, 1786]","[783, 1163]",0.4,72.5,00:00:00,0.0992236752063036,5.521629115542771e-05,,,200.0,200.0,20.0,,
Process Graph Metrics,without_noise,log_26_1687181951,0.0001,300.0,400.0,,[1512],"[1394, 1683]",0.6666666666666666,118.0,00:00:03,3.2505002757534385,0.0011985620485816513,,,,,,,
Process Graph Metrics,without_noise,log_42_1687181985,0.05,200.0,400.0,,[1650],"[1494, 1841]",0.6666666666666666,156.0,00:00:02,2.276766359806061,0.0008872822914287065,,,,,,,
Maaradji Runs,without_noise,log_70_1687182031,,,,,[598],[608],1.0,10.0,00:00:08,8.160878717899323,0.005547844131814631,150.0,2.0,,,,,
Process Graph Metrics,without_noise,log_4_1687181921,0.1,100.0,400.0,,[],"[1313, 1543]",,,00:00:01,1.2662139823660254,0.0004805366156986814,,,,,,,
