Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Window Size,SW Step Size,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon
Zheng DBSCAN,without_noise,log_65_1687182020,,,,,"[304.0, 429.5, 661.4, 921.0, 1070.0, 1282.5, 1490.9, 1650.5, 1743.0, 2099.5714285714284, 2382.75, 2540.6666666666665, 3050.0]","[909, 1496, 2099, 2410]",0.47058823529411764,11.230357142857088,00:00:00,0.8035722700878978,0.0002626911638077469,,,,,,300.0,60.0
Zheng DBSCAN,without_noise,log_65_1687182020,,,,,"[304.0, 429.5, 661.4, 930.3125, 1282.5, 1490.9, 1696.75, 2099.5714285714284, 2382.75, 2540.6666666666665, 3050.0]","[909, 1496, 2099, 2410]",0.5333333333333333,13.558482142857088,00:00:00,0.8035722700878978,0.0002626911638077469,,,,,,300.0,90.0
Zheng DBSCAN,without_noise,log_65_1687182020,,,,,"[304.0, 429.5, 661.4, 930.3125, 1282.5, 1490.9, 1696.75, 2099.5714285714284, 2382.75, 2540.6666666666665, 3050.0]","[909, 1496, 2099, 2410]",0.5333333333333333,13.558482142857088,00:00:00,0.8035722700878978,0.0002626911638077469,,,,,,300.0,120.0
Zheng DBSCAN,without_noise,log_65_1687182020,,,,,"[329.5, 661.4, 930.3125, 1282.5, 1549.7142857142858, 2099.5714285714284, 2450.4285714285716, 3050.0]","[909, 1496, 2099, 2410]",0.6666666666666666,29.006696428571445,00:00:00,0.8035722700878978,0.0002626911638077469,,,,,,300.0,150.0
LCDD,without_noise,log_79_1687182041,,,,,"[125, 239, 343, 451, 556, 698, 808, 925, 1031, 1153, 1259, 1374, 1480, 1581, 1682, 1826]",[532],0.11764705882352941,24.0,00:00:00,0.06360486894845963,3.4718814928198486e-05,,,100.0,100.0,150.0,,
Process Graph Metrics,without_noise,log_87_1687182053,0.1,200.0,400.0,,"[1423, 3613]","[1385, 2862, 3527, 3777]",0.6666666666666666,62.0,00:01:01,61.91912966221571,0.01353423599174114,,,,,,,
LCDD,without_noise,log_81_1687182043,,,,,[750],"[751, 1119]",0.6666666666666666,1.0,00:00:00,0.03875112999230623,2.108331337992722e-05,,,200.0,200.0,200.0,,
LCDD,without_noise,log_33_1687181967,,,,,[986],[987],1.0,1.0,00:00:00,0.03396016079932451,2.2210700326569335e-05,,,100.0,100.0,20.0,,
Process Graph Metrics,without_noise,log_74_1687182036,0.0001,400.0,500.0,,[914],[839],1.0,75.0,00:00:02,2.4485512357205153,0.0017452253996582433,,,,,,,
LCDD,without_noise,log_68_1687182024,,,,,"[311, 667, 979, 1288, 1706, 2037, 2498, 2800, 3186, 3757, 4100]","[896, 1272, 1818, 2030, 2923, 3240]",0.7058823529411764,65.83333333333333,00:00:00,0.13835125043988228,3.062901271637863e-05,,,300.0,300.0,50.0,,
Maaradji Runs,without_noise,log_81_1687182043,,,,,[],"[751, 1119]",,,00:00:00,0.26242165733128786,0.00014277565687230025,50.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_6_1687181923,0.4,300.0,400.0,10.0,[],"[923, 1989, 3141]",,,00:00:50,50.738467833958566,0.011528849769133962,,,,,,,
Martjushev ADWIN J,without_noise,log_34_1687181968,0.4,100.0,400.0,20.0,[],"[1087, 1302]",,,00:00:31,31.478389266878366,0.011833980927397882,,,,,,,
Zheng DBSCAN,without_noise,log_87_1687182053,,,,,"[364.5, 399.0, 489.0, 525.0, 566.5, 651.0, 752.5, 794.5, 884.0, 937.5, 1035.3333333333333, 1308.5, 1388.8823529411766, 1521.6666666666667, 1616.0, 1704.0, 1754.0, 1808.5, 1878.0, 1991.0, 2037.0, 2123.0, 2212.0, 2316.6666666666665, 2385.6666666666665, 2561.0, 2699.0, 2738.6666666666665, 2853.4285714285716, 2928.0, 2966.0, 3012.5, 3064.0, 3137.0, 3282.0, 3337.5, 3437.0, 3528.8333333333335, 3621.6666666666665, 3705.8571428571427, 3768.0, 3853.0, 3940.0, 4055.0, 4154.5, 4191.5, 4292.0, 4402.0, 4552.0]","[1385, 2862, 3527, 3777]",0.15094339622641506,5.821778711484626,00:00:01,1.3299025055021048,0.0002906890722408972,,,,,,300.0,30.0
Zheng DBSCAN,without_noise,log_87_1687182053,,,,,"[376.0, 536.75, 651.0, 773.5, 919.6666666666666, 1035.3333333333333, 1380.421052631579, 1521.6666666666667, 1616.0, 1772.6666666666667, 1878.0, 2021.6666666666667, 2123.0, 2212.0, 2351.1666666666665, 2561.0, 2718.8333333333335, 2896.4285714285716, 3137.0, 3319.0, 3437.0, 3638.5, 3853.0, 3940.0, 4055.0, 4173.0, 4292.0, 4402.0, 4552.0]","[1385, 2862, 3527, 3777]",0.2424242424242424,51.25187969924815,00:00:01,1.3299025055021048,0.0002906890722408972,,,,,,300.0,60.0
Zheng DBSCAN,without_noise,log_87_1687182053,,,,,"[447.2, 895.9, 1380.421052631579, 1715.2142857142858, 2105.0, 2351.1666666666665, 2561.0, 2866.964285714286, 3319.0, 3648.6451612903224, 4114.0, 4292.0, 4402.0, 4552.0]","[1385, 2862, 3527, 3777]",0.3333333333333333,43.729464791009754,00:00:01,1.3299025055021048,0.0002906890722408972,,,,,,300.0,90.0
Zheng DBSCAN,without_noise,log_87_1687182053,,,,,"[671.55, 1719.195652173913, 2561.0, 2866.964285714286, 3742.5227272727275, 4552.0]","[1385, 2862, 3527, 3777]",0.4,19.72077922077915,00:00:01,1.3299025055021048,0.0002906890722408972,,,,,,300.0,120.0
Zheng DBSCAN,without_noise,log_87_1687182053,,,,,"[620.4090909090909, 1719.195652173913, 3399.12987012987]","[1385, 2862, 3527, 3777]",0.28571428571428575,127.87012987012986,00:00:01,1.3299025055021048,0.0002906890722408972,,,,,,300.0,150.0
Martjushev J,without_noise,log_69_1687182027,0.55,,,,"[995, 1282, 1482, 1912, 2606, 2986, 3186]","[1354, 1741, 2389, 2676, 3199]",0.6666666666666666,81.5,00:04:15,255.749688224867,0.060546801189599195,100.0,,,,,,
Zheng DBSCAN,without_noise,log_5_1687181922,,,,,"[731.0, 936.5]","[689, 980]",1.0,42.75,00:00:00,0.7762634828686714,0.00045743281253310045,,,,,,500.0,50.0
Zheng DBSCAN,without_noise,log_5_1687181922,,,,,[861.7727272727273],"[689, 980]",0.6666666666666666,118.22727272727275,00:00:00,0.7762634828686714,0.00045743281253310045,,,,,,500.0,100.0
Zheng DBSCAN,without_noise,log_5_1687181922,,,,,[861.7727272727273],"[689, 980]",0.6666666666666666,118.22727272727275,00:00:00,0.7762634828686714,0.00045743281253310045,,,,,,500.0,150.0
Zheng DBSCAN,without_noise,log_5_1687181922,,,,,[861.7727272727273],"[689, 980]",0.6666666666666666,118.22727272727275,00:00:00,0.7762634828686714,0.00045743281253310045,,,,,,500.0,200.0
Zheng DBSCAN,without_noise,log_5_1687181922,,,,,[861.7727272727273],"[689, 980]",0.6666666666666666,118.22727272727275,00:00:00,0.7762634828686714,0.00045743281253310045,,,,,,500.0,250.0
Martjushev ADWIN J,without_noise,log_50_1687182000,0.4,300.0,500.0,20.0,[],"[1406, 1636, 2269, 2506, 3766]",,,00:01:16,76.9332182854414,0.014662324811404878,,,,,,,
Maaradji Runs,without_noise,log_64_1687182018,,,,,[1322],[1359],1.0,37.0,00:32:39,1959.3553819954395,0.9925812472114689,150.0,2.0,,,,,
Earth Mover's Distance,without_noise,log_29_1687181956,,,,,[672],"[516, 766]",0.6666666666666666,94.0,00:00:02,2.932887532748282,0.0019397404317118268,100.0,2.0,,,,,
Process Graph Metrics,without_noise,log_94_1687182067,0.1,300.0,400.0,,"[744, 3116]","[517, 868, 1998, 2959, 3215]",0.5714285714285715,111.5,00:00:06,6.469478064216673,0.0015197270529050207,,,,,,,
Process Graph Metrics,without_noise,log_35_1687181968,0.0001,300.0,500.0,,[1124],"[842, 1057, 2418, 2651, 3788, 4180]",0.2857142857142857,67.0,00:00:11,11.17802241910249,0.001990743084434994,,,,,,,
Process Graph Metrics,without_noise,log_76_1687182037,0.05,200.0,500.0,,"[1126, 1851]","[1056, 1741, 2740]",0.8,90.0,00:00:13,13.522500036284328,0.0041315307168604725,,,,,,,
Earth Mover's Distance,without_noise,log_61_1687182016,,,,,[1312],"[1128, 1415]",0.6666666666666666,103.0,00:00:00,0.4045292716473341,0.0001574043858549938,300.0,2.0,,,,,
Martjushev ADWIN J,without_noise,log_5_1687181922,0.4,400.0,500.0,20.0,[829],"[689, 980]",0.6666666666666666,140.0,00:00:17,17.740563817322254,0.010454074141026667,,,,,,,
Maaradji Runs,without_noise,log_56_1687182007,,,,,[974],"[999, 1336]",0.6666666666666666,25.0,00:00:23,23.227697422727942,0.008622010921576816,300.0,2.0,,,,,
Process Graph Metrics,without_noise,log_36_1687181970,0.005,200.0,500.0,,"[870, 1701, 2740]","[754, 1601, 2593]",1.0,121.0,00:01:01,61.763985780999064,0.016770020575888965,,,,,,,
Martjushev ADWIN J,without_noise,log_31_1687181960,0.4,400.0,400.0,50.0,"[1049, 1800, 2701, 3602]","[1043, 1868, 2070, 3338, 3677]",0.6666666666666665,49.666666666666664,00:01:12,72.97392910160124,0.01694309939670333,,,,,,,
Process Graph Metrics,without_noise,log_98_1687182076,0.1,300.0,500.0,,"[450, 1085, 1801]","[896, 1153]",0.4,68.0,00:00:01,1.6401107320562005,0.0009302953670199662,,,,,,,
LCDD,without_noise,log_72_1687182033,,,,,"[200, 622, 983, 1370]","[661, 974]",0.6666666666666666,24.0,00:00:00,0.03751046769320965,2.477573823857969e-05,,,200.0,200.0,50.0,,
Earth Mover's Distance,without_noise,log_69_1687182027,,,,,"[536, 1100, 1532, 2612, 3182]","[1354, 1741, 2389, 2676, 3199]",0.6,86.33333333333333,00:04:44,284.42478747759014,0.067335413702081,200.0,2.0,,,,,
Zheng DBSCAN,without_noise,log_18_1687181937,,,,,"[581.2857142857143, 786.0, 1175.9137931034484, 1459.0, 1596.2222222222222, 1834.5833333333333]","[1013, 1325]",0.5,148.45689655172418,00:00:01,1.4934223061427474,0.0007077830834799751,,,,,,500.0,50.0
Zheng DBSCAN,without_noise,log_18_1687181937,,,,,[1299.845238095238],"[1013, 1325]",0.6666666666666666,25.154761904761926,00:00:01,1.4934223061427474,0.0007077830834799751,,,,,,500.0,100.0
Zheng DBSCAN,without_noise,log_18_1687181937,,,,,[1112.4859813084113],"[1013, 1325]",0.6666666666666666,99.48598130841128,00:00:01,1.4934223061427474,0.0007077830834799751,,,,,,500.0,150.0
Zheng DBSCAN,without_noise,log_18_1687181937,,,,,[1112.4859813084113],"[1013, 1325]",0.6666666666666666,99.48598130841128,00:00:01,1.4934223061427474,0.0007077830834799751,,,,,,500.0,200.0
Zheng DBSCAN,without_noise,log_18_1687181937,,,,,[1112.4859813084113],"[1013, 1325]",0.6666666666666666,99.48598130841128,00:00:01,1.4934223061427474,0.0007077830834799751,,,,,,500.0,250.0
Process Graph Metrics,without_noise,log_82_1687182044,0.005,200.0,500.0,,[703],[642],1.0,61.0,00:00:11,11.398796231485903,0.00557125915517395,,,,,,,
Bose J,without_noise,log_62_1687182017,,,,,[536],[540],1.0,4.0,00:00:49,49.717792538926005,0.030996130011799256,300.0,2.0,,,,,
Bose WC,without_noise,log_62_1687182017,,,,,[554],[540],1.0,14.0,00:00:55,55.333542990498245,0.03449722131577197,300.0,2.0,,,,,
Process Graph Metrics,without_noise,log_100_1687182078,0.005,300.0,400.0,,[1215],[1133],1.0,82.0,00:00:02,2.397425727918744,0.0010107191095778854,,,,,,,
Earth Mover's Distance,without_noise,log_5_1687181922,,,,,"[380, 1254]","[689, 980]",,,00:01:04,64.33869769517332,0.03791319840611274,100.0,2.0,,,,,
Process Graph Metrics,without_noise,log_25_1687181949,0.05,200.0,500.0,,"[908, 1283, 1658]","[783, 1163]",0.8,122.5,00:00:06,6.580145295709372,0.003661739174017458,,,,,,,
Process Graph Metrics,without_noise,log_85_1687182048,0.005,100.0,400.0,,[1430],"[1308, 1543]",0.6666666666666666,113.0,00:01:23,83.50471314415336,0.03229107236819542,,,,,,,
Process Graph Metrics,without_noise,log_77_1687182038,0.1,300.0,400.0,,"[660, 2047, 3321]","[560, 1784, 3134]",0.6666666666666666,143.5,00:00:31,31.36964588239789,0.0069294556842054095,,,,,,,
LCDD,without_noise,log_83_1687182046,,,,,[],"[1171, 1687, 2573, 2813]",,,00:00:00,0.09679192025214434,2.6561997873804704e-05,,,200.0,200.0,50.0,,
Martjushev ADWIN J,without_noise,log_22_1687181941,0.4,100.0,500.0,50.0,"[1199, 1387, 2577, 3552, 3803]","[1159, 1512, 2578, 3506, 3838]",1.0,49.4,00:00:05,5.624131510965526,0.0011989195290909244,,,,,,,
Process Graph Metrics,without_noise,log_36_1687181970,0.0001,300.0,500.0,,"[891, 1673, 2774]","[754, 1601, 2593]",1.0,130.0,00:00:18,18.413271808996797,0.004999530765407764,,,,,,,
LCDD,without_noise,log_93_1687182065,,,,,"[760, 861, 961, 1061, 1770, 1875, 2012, 2112, 2886]","[761, 990, 1771, 2107, 2887, 3146]",0.6666666666666667,7.4,00:00:00,0.17474300973117352,4.054362174737205e-05,,,100.0,100.0,200.0,,
Martjushev ADWIN J,without_noise,log_46_1687181991,0.4,200.0,500.0,20.0,[],"[808, 1008, 2422, 3892]",,,00:00:52,52.08866569027305,0.011255113589082336,,,,,,,
Process Graph Metrics,without_noise,log_87_1687182053,0.05,300.0,400.0,,"[1424, 3629]","[1385, 2862, 3527, 3777]",0.6666666666666666,70.5,00:00:19,19.215352213941514,0.004200076986653883,,,,,,,
LCDD,without_noise,log_81_1687182043,,,,,[750],"[751, 1119]",0.6666666666666666,1.0,00:00:00,0.049421400763094425,2.6888683766645498e-05,,,100.0,100.0,150.0,,
Martjushev ADWIN J,without_noise,log_97_1687182074,0.4,100.0,400.0,20.0,"[1059, 2320, 3601]","[1151, 2334, 3469, 3787]",0.8571428571428571,79.33333333333333,00:00:29,29.498115341179073,0.005917375193817266,,,,,,,
Martjushev ADWIN J,without_noise,log_32_1687181966,0.4,200.0,500.0,20.0,[],"[1402, 1725]",,,00:00:14,14.084629428572953,0.0046576155517767705,,,,,,,
Martjushev ADWIN J,without_noise,log_100_1687182078,0.4,300.0,400.0,10.0,[1129],[1133],1.0,4.0,00:00:04,4.932090233080089,0.002079296051045569,,,,,,,
Martjushev ADWIN J,without_noise,log_82_1687182044,0.4,100.0,500.0,20.0,"[99, 640]",[642],0.6666666666666666,2.0,00:00:05,5.0897220792248845,0.0024876452000121623,,,,,,,
Process Graph Metrics,without_noise,log_66_1687182022,0.05,100.0,400.0,,"[150, 1062, 1612]","[846, 1221]",0.4,159.0,00:00:05,5.538146875798702,0.00320124096866977,,,,,,,
Martjushev J,without_noise,log_37_1687181973,0.55,,,,"[1012, 1513]",[1428],0.6666666666666666,85.0,00:02:24,144.09246776346117,0.06967720878310502,200.0,,,,,,
Martjushev ADWIN J,without_noise,log_12_1687181931,0.4,300.0,400.0,20.0,[],"[969, 1263]",,,00:00:01,1.412024088203907,0.0007955065285655815,,,,,,,
Process Graph Metrics,without_noise,log_96_1687182073,0.0001,200.0,400.0,,"[1891, 2741]","[805, 1076, 1645, 1910, 2579, 2949]",0.5,90.5,00:00:06,6.126265911385417,0.001485875797085961,,,,,,,
Process Graph Metrics,without_noise,log_31_1687181960,0.0001,300.0,400.0,,"[1084, 2048, 3160, 3683]","[1043, 1868, 2070, 3338, 3677]",0.888888888888889,61.75,00:01:05,65.02652795705944,0.015097870433494183,,,,,,,
Martjushev ADWIN J,without_noise,log_94_1687182067,0.4,200.0,400.0,20.0,"[559, 690, 1998, 3007, 3120]","[517, 868, 1998, 2959, 3215]",1.0,72.6,00:00:04,4.320254357531667,0.0010148589047525645,,,,,,,
Process Graph Metrics,without_noise,log_54_1687182005,0.0001,300.0,500.0,,"[3079, 4119]","[1171, 1523, 2987, 3886, 4123]",0.5714285714285715,48.0,00:00:11,11.71115821134299,0.0024286931172424284,,,,,,,
Process Graph Metrics,without_noise,log_80_1687182042,0.005,300.0,500.0,,[1003],[981],1.0,22.0,00:00:07,7.0650283712893724,0.003334133256861431,,,,,,,
LCDD,without_noise,log_48_1687181998,,,,,"[205, 405, 652, 1005, 1274, 1642, 1842, 2077, 2361, 2656, 2859, 3139, 3345, 3567, 3775, 4040, 4262]","[1144, 2359, 2666, 3482, 3756]",0.45454545454545453,49.2,00:00:00,0.08219612669199705,1.9151008082944328e-05,,,200.0,200.0,100.0,,
Process Graph Metrics,without_noise,log_21_1687181940,0.1,300.0,400.0,,[850],[668],1.0,182.0,00:00:03,3.134126258082688,0.0016996346301966854,,,,,,,
Zheng DBSCAN,without_noise,log_94_1687182067,,,,,"[866.0, 1998.5, 3212.5]","[517, 868, 1998, 2959, 3215]",0.7499999999999999,1.6666666666666667,00:00:00,0.2881842367351055,6.769655549332993e-05,,,,,,300.0,30.0
Zheng DBSCAN,without_noise,log_94_1687182067,,,,,"[866.0, 1998.5, 3212.5]","[517, 868, 1998, 2959, 3215]",0.7499999999999999,1.6666666666666667,00:00:00,0.2881842367351055,6.769655549332993e-05,,,,,,300.0,60.0
Zheng DBSCAN,without_noise,log_94_1687182067,,,,,"[866.0, 1998.5, 3212.5]","[517, 868, 1998, 2959, 3215]",0.7499999999999999,1.6666666666666667,00:00:00,0.2881842367351055,6.769655549332993e-05,,,,,,300.0,90.0
Zheng DBSCAN,without_noise,log_94_1687182067,,,,,"[866.0, 1998.5, 3212.5]","[517, 868, 1998, 2959, 3215]",0.7499999999999999,1.6666666666666667,00:00:00,0.2881842367351055,6.769655549332993e-05,,,,,,300.0,120.0
Zheng DBSCAN,without_noise,log_94_1687182067,,,,,"[866.0, 1998.5, 3212.5]","[517, 868, 1998, 2959, 3215]",0.7499999999999999,1.6666666666666667,00:00:00,0.2881842367351055,6.769655549332993e-05,,,,,,300.0,150.0
LCDD,without_noise,log_31_1687181960,,,,,"[487, 611, 742, 846, 948, 1053, 1329, 1429, 1639, 1739, 1842, 1958, 2068, 2180, 2336, 2438, 2542, 2678, 2790, 2890, 2991, 3098, 3224, 3325, 3436, 3556, 3656, 3756, 3911, 4031, 4131, 4272]","[1043, 1868, 2070, 3338, 3677]",0.2702702702702703,14.4,00:00:00,0.29817311000078917,6.922988391009732e-05,,,100.0,100.0,20.0,,
Martjushev ADWIN J,without_noise,log_89_1687182057,0.4,200.0,500.0,10.0,"[199, 790, 1949, 2482, 2743]","[1144, 1943, 2486]",0.5,5.0,00:00:06,6.3464364586398005,0.0019672772655424057,,,,,,,
Process Graph Metrics,without_noise,log_11_1687181931,0.0001,300.0,400.0,,[1070],[1012],1.0,58.0,00:00:01,1.348532005213201,0.0007955941033706201,,,,,,,
Martjushev ADWIN J,without_noise,log_5_1687181922,0.4,200.0,500.0,50.0,[849],"[689, 980]",0.6666666666666666,131.0,00:00:19,19.14509337116033,0.011281728562852285,,,,,,,
Process Graph Metrics,without_noise,log_16_1687181934,0.005,200.0,500.0,,"[1637, 2862]","[1218, 1793, 2771]",0.8,123.5,00:00:15,15.63143852725625,0.0038730026083390115,,,,,,,
Martjushev ADWIN J,without_noise,log_60_1687182015,0.4,400.0,400.0,20.0,[699],[694],1.0,5.0,00:00:25,25.808720853179693,0.012145280401496325,,,,,,,
Process Graph Metrics,without_noise,log_90_1687182058,0.05,200.0,400.0,,"[550, 700, 1240]",[652],0.5,48.0,00:00:00,0.9516114629805088,0.0005064456961045815,,,,,,,
Martjushev J,without_noise,log_34_1687181968,0.55,,,,[1098],"[1087, 1302]",0.6666666666666666,11.0,00:05:11,311.33189652115107,0.11704206636133499,300.0,,,,,,
LCDD,without_noise,log_38_1687181974,,,,,"[309, 648, 962, 1270, 1645, 1961, 2301]","[1060, 1266]",0.4444444444444445,51.0,00:00:00,0.11828163359314203,5.026843756614621e-05,,,300.0,300.0,100.0,,
Martjushev ADWIN J,without_noise,log_98_1687182076,0.4,400.0,400.0,20.0,[],"[896, 1153]",,,00:00:05,5.232640451751649,0.002968032020278871,,,,,,,
Martjushev ADWIN J,without_noise,log_31_1687181960,0.4,300.0,400.0,10.0,"[1049, 1800, 2611, 3347, 3903]","[1043, 1868, 2070, 3338, 3677]",0.6,27.666666666666668,00:01:34,94.50367930997163,0.021941880499180784,,,,,,,
Zheng DBSCAN,without_noise,log_38_1687181974,,,,,"[440.57142857142856, 557.5, 603.0, 655.6666666666666, 712.0, 828.7142857142857, 979.5, 1115.3333333333333, 1262.6666666666667, 1321.3333333333333, 1414.4285714285713, 1562.0, 1644.25, 1782.0, 1902.0, 1996.0, 2241.5, 2301.0]","[1060, 1266]",0.19999999999999998,29.333333333333258,00:00:00,0.8157469611614943,0.00034668379139885007,,,,,,400.0,40.0
Zheng DBSCAN,without_noise,log_38_1687181974,,,,,"[440.57142857142856, 1039.4259259259259, 1603.125, 1782.0, 1937.25, 2261.3333333333335]","[1060, 1266]",0.25,20.574074074074133,00:00:00,0.8157469611614943,0.00034668379139885007,,,,,,400.0,80.0
Zheng DBSCAN,without_noise,log_38_1687181974,,,,,"[977.7333333333333, 1920.0, 2261.3333333333335]","[1060, 1266]",0.4,82.26666666666665,00:00:00,0.8157469611614943,0.00034668379139885007,,,,,,400.0,120.0
Zheng DBSCAN,without_noise,log_38_1687181974,,,,,"[1078.6904761904761, 2261.3333333333335]","[1060, 1266]",0.5,18.690476190476147,00:00:00,0.8157469611614943,0.00034668379139885007,,,,,,400.0,160.0
Zheng DBSCAN,without_noise,log_38_1687181974,,,,,"[1078.6904761904761, 2261.3333333333335]","[1060, 1266]",0.5,18.690476190476147,00:00:00,0.8157469611614943,0.00034668379139885007,,,,,,400.0,200.0
Process Graph Metrics,without_noise,log_25_1687181949,0.1,200.0,400.0,,"[850, 1300, 1750]","[783, 1163]",0.8,102.0,00:00:02,2.6015651216730475,0.0014477268345425974,,,,,,,
LCDD,without_noise,log_43_1687181986,,,,,"[472, 780, 1088, 1441, 1877, 2300, 2607, 2999, 3553, 3869]","[979, 1204, 2415, 2632, 3669]",0.6666666666666666,114.2,00:00:00,0.24737090058624744,5.7608500369410214e-05,,,300.0,300.0,50.0,,
Martjushev J,without_noise,log_51_1687182003,0.55,,,,[],[882],,,00:03:36,216.69277269858867,0.09139298721998679,100.0,,,,,,
Martjushev J,without_noise,log_71_1687182031,0.55,,,,"[753, 1860, 3167, 3963]","[940, 1158, 1961, 2167, 3303, 3626]",0.6,141.33333333333334,00:05:59,359.42534375656396,0.0796775313138027,300.0,,,,,,
Martjushev ADWIN J,without_noise,log_74_1687182036,0.4,100.0,400.0,10.0,[],[839],,,00:00:07,7.613267590291798,0.005426420235418245,,,,,,,
Process Graph Metrics,without_noise,log_1_1687181916,0.1,200.0,400.0,,"[1370, 2438, 3220]","[1292, 2437, 3613]",0.6666666666666666,39.5,00:00:12,12.570358434692025,0.0026508558487330293,,,,,,,
Martjushev ADWIN J,without_noise,log_36_1687181970,0.4,300.0,400.0,20.0,"[679, 1560, 2521]","[754, 1601, 2593]",1.0,62.666666666666664,00:01:03,63.685924177989364,0.017291861031221656,,,,,,,
Martjushev J,without_noise,log_68_1687182024,0.55,,,,"[1939, 2993]","[896, 1272, 1818, 2030, 2923, 3240]",0.5,80.5,00:07:15,435.3134822594002,0.09637225642227146,200.0,,,,,,
LCDD,without_noise,log_87_1687182053,,,,,"[364, 752, 1299, 1740, 2208, 2555, 2863, 3337, 3645, 4069, 4402]","[1385, 2862, 3527, 3777]",0.5333333333333333,102.25,00:00:00,0.14476328529417515,3.1642248151732276e-05,,,300.0,300.0,50.0,,
Process Graph Metrics,without_noise,log_19_1687181938,0.1,100.0,400.0,,"[150, 815, 1208]",[771],0.5,44.0,00:00:01,1.0921241911128163,0.0007329692557804136,,,,,,,
Process Graph Metrics,without_noise,log_32_1687181966,0.005,300.0,400.0,,[],"[1402, 1725]",,,00:00:07,7.390565060079098,0.002443969927274834,,,,,,,
Process Graph Metrics,without_noise,log_11_1687181931,0.0001,200.0,400.0,,[1070],[1012],1.0,58.0,00:00:01,1.407278025522828,0.0008302525224323469,,,,,,,
LCDD,without_noise,log_5_1687181922,,,,,"[247, 495, 701, 901, 1128]","[689, 980]",0.5714285714285715,45.5,00:00:00,0.0728497514501214,4.292855123754944e-05,,,200.0,200.0,50.0,,
Process Graph Metrics,without_noise,log_24_1687181949,0.005,200.0,400.0,,[1112],"[994, 1238]",0.6666666666666666,118.0,00:00:01,1.892279714345932,0.0007864836717979768,,,,,,,
Martjushev ADWIN J,without_noise,log_77_1687182038,0.4,300.0,400.0,50.0,"[349, 1700, 3151, 4102]","[560, 1784, 3134]",0.5714285714285715,50.5,00:00:26,26.75072829052806,0.005909151378512936,,,,,,,
Zheng DBSCAN,without_noise,log_24_1687181949,,,,,"[993.0, 1195.0, 1237.0]","[994, 1238]",0.8,1.0,00:00:00,0.29919015150517225,0.0001243516839173617,,,,,,400.0,40.0
Zheng DBSCAN,without_noise,log_24_1687181949,,,,,"[993.0, 1216.0]","[994, 1238]",1.0,11.5,00:00:00,0.29919015150517225,0.0001243516839173617,,,,,,400.0,80.0
Zheng DBSCAN,without_noise,log_24_1687181949,,,,,"[993.0, 1216.0]","[994, 1238]",1.0,11.5,00:00:00,0.29919015150517225,0.0001243516839173617,,,,,,400.0,120.0
Zheng DBSCAN,without_noise,log_24_1687181949,,,,,"[993.0, 1216.0]","[994, 1238]",1.0,11.5,00:00:00,0.29919015150517225,0.0001243516839173617,,,,,,400.0,160.0
Zheng DBSCAN,without_noise,log_24_1687181949,,,,,"[993.0, 1216.0]","[994, 1238]",1.0,11.5,00:00:00,0.29919015150517225,0.0001243516839173617,,,,,,400.0,200.0
