Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case,Complete-Window Size,Detection-Window Size,Stable Period,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,MRID,Epsilon
Bose J,with_noise_10,log_21_1687181940,100.0,2.0,[666],[668],1.0,2.0,00:01:35,95.71112341992556,0.0519040799457297,,,,,,,,,
Bose WC,with_noise_10,log_21_1687181940,100.0,2.0,[666],[668],1.0,2.0,00:01:32,92.16809037979692,0.0499826954337293,,,,,,,,,
Bose J,with_noise_10,log_21_1687181940,200.0,2.0,[662],[668],1.0,6.0,00:01:46,106.94533800892532,0.0579963872065755,,,,,,,,,
Bose WC,with_noise_10,log_21_1687181940,200.0,2.0,[662],[668],1.0,6.0,00:01:54,114.6418558480218,0.0621702038221376,,,,,,,,,
Bose J,without_noise,log_21_1687181940,300.0,2.0,[674],[668],1.0,6.0,00:01:48,108.32168961316349,0.0587427817858804,,,,,,,,,
Bose WC,without_noise,log_21_1687181940,300.0,2.0,[534],[668],1.0,134.0,00:01:39,99.34798670746386,0.0538763485398394,,,,,,,,,
Bose J,with_noise_10,log_21_1687181940,400.0,2.0,[678],[668],1.0,10.0,00:01:45,105.5448229657486,0.0572368888100589,,,,,,,,,
Bose WC,with_noise_10,log_21_1687181940,400.0,2.0,"[748, 1296]",[668],0.6666666666666666,80.0,00:02:07,127.95888462662695,0.0693920198625959,,,,,,,,,
Bose J,with_noise_10,log_21_1687181940,500.0,2.0,[674],[668],1.0,6.0,00:01:30,90.22309928108008,0.048927928026616,,,,,,,,,
Bose WC,with_noise_10,log_21_1687181940,500.0,2.0,[],[668],,,00:01:57,117.01134951226412,0.0634551786942864,,,,,,,,,
Bose J,with_noise_10,log_21_1687181940,600.0,2.0,[],[668],,,00:01:28,88.94842892605811,0.0482366751225911,,,,,,,,,
Bose WC,with_noise_10,log_21_1687181940,600.0,2.0,[],[668],,,00:01:09,69.26878174953163,0.0375644152654726,,,,,,,,,
Bose J,without_noise,log_22_1687181941,100.0,2.0,"[1264, 2574, 3572]","[1159, 1512, 2578, 3506, 3838]",0.7499999999999999,58.333333333333336,00:00:29,29.8276602961123,0.0063584865265641,,,,,,,,,
