Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Earth Mover's Distance,with_noise_15,log_15_1687181933,300,2,"[1136, 1754]","[957, 1345]",0.5,179.0,00:00:07,7.5533546432852745,0.002873090393033577
Earth Mover's Distance,with_noise_15,log_7_1687181925,100,2,"[552, 918, 2008]","[920, 1720, 2103, 3052, 3413]",0.5,48.5,00:00:07,7.5404326524585485,0.001587125374123037
Earth Mover's Distance,with_noise_10,log_41_1687181983,200,2,"[780, 2624, 3440]","[601, 890, 2386, 2718, 3227, 3580]",0.6666666666666666,114.66666666666667,00:00:26,26.466258062049747,0.005527622819976973
Earth Mover's Distance,with_noise_15,log_48_1687181998,200,2,"[1144, 2440, 3590]","[1144, 2359, 2666, 3482, 3756]",0.7499999999999999,63.0,00:01:10,70.85807919874787,0.01650933811713604
Earth Mover's Distance,without_noise,log_64_1687182018,200,2,[1364],[1359],1.0,5.0,00:04:45,285.5319824591279,0.14464639435619447
Earth Mover's Distance,without_noise,log_11_1687181931,100,2,[1010],[1012],1.0,2.0,00:00:00,0.07418909296393394,4.376937637990203e-05
Earth Mover's Distance,with_noise_10,log_94_1687182067,300,2,"[692, 1998, 2520, 3038]","[517, 868, 1998, 2959, 3215]",0.6666666666666665,84.66666666666667,00:00:05,5.061649726703763,0.0011890180236560403
Earth Mover's Distance,with_noise_10,log_1_1687181916,300,2,"[1366, 1872, 2482, 3130, 3614]","[1292, 2437, 3613]",0.7499999999999999,40.0,00:12:18,738.5663410834968,0.15574996648745187
Earth Mover's Distance,with_noise_5,log_79_1687182041,100,2,[952],[532],,,00:00:49,49.650088995695114,0.027101576962715673
Earth Mover's Distance,with_noise_5,log_38_1687181974,300,2,"[1150, 1932]","[1060, 1266]",0.5,90.0,00:07:05,425.5340826828033,0.18084746395359255
Earth Mover's Distance,with_noise_10,log_79_1687182041,100,2,[],[532],,,00:00:53,53.700141333043575,0.029312304221093655
Earth Mover's Distance,with_noise_10,log_98_1687182076,200,2,[1070],"[896, 1153]",0.6666666666666666,83.0,00:00:05,5.227855626493692,0.00296531799574231
Earth Mover's Distance,with_noise_5,log_16_1687181934,200,2,"[660, 1230, 1766, 2188, 2750, 3650]","[1218, 1793, 2771]",0.6666666666666666,20.0,00:00:07,7.436247391626239,0.0018424795321175021
Earth Mover's Distance,with_noise_5,log_64_1687182018,100,2,[1358],[1359],1.0,1.0,00:02:36,156.52290587499738,0.07929225221631073
Earth Mover's Distance,without_noise,log_12_1687181931,100,2,[],"[969, 1263]",,,00:00:00,0.07346372306346893,4.138801299350362e-05
Earth Mover's Distance,with_noise_10,log_63_1687182017,300,2,"[864, 1732, 2814, 3656]","[727, 968, 1760, 2588, 2871]",0.6666666666666665,63.0,00:00:46,46.033879939466715,0.010839152328577047
Earth Mover's Distance,without_noise,log_93_1687182065,100,2,"[858, 1900, 3000]","[761, 990, 1771, 2107, 2887, 3146]",0.6666666666666666,113.0,00:00:30,30.219441290944815,0.007011471297202973
Earth Mover's Distance,without_noise,log_13_1687181932,100,2,"[720, 740, 1406, 2976, 3118]","[627, 835, 1407, 2856, 3239]",1.0,86.0,00:00:00,0.2027856446802616,4.567244249555442e-05
Earth Mover's Distance,with_noise_5,log_36_1687181970,200,2,"[744, 1602, 1956, 2446]","[754, 1601, 2593]",0.8571428571428571,52.666666666666664,00:05:58,358.62027078308165,0.09737178136928636
Earth Mover's Distance,with_noise_10,log_87_1687182053,300,2,"[630, 1386, 1754, 2146, 2856, 3634]","[1385, 2862, 3527, 3777]",0.6,38.0,00:04:44,284.66708562523127,0.062222313797864755
Earth Mover's Distance,with_noise_5,log_76_1687182037,300,2,"[1044, 1740, 2732]","[1056, 1741, 2740]",1.0,7.0,00:00:03,3.1864271629601717,0.0009735493928995331
Earth Mover's Distance,with_noise_15,log_17_1687181934,100,2,"[282, 450, 1202, 2034, 2380, 3898, 4574]","[975, 1309, 2437, 2652, 3899]",0.5,55.0,00:02:15,135.9194064270705,0.027920995568420398
Earth Mover's Distance,with_noise_15,log_90_1687182058,200,2,"[644, 1096]",[652],0.6666666666666666,8.0,00:00:14,14.597663432359695,0.007768846957083393
Earth Mover's Distance,without_noise,log_72_1687182033,200,2,[792],"[661, 974]",0.6666666666666666,131.0,00:01:34,94.69341604784131,0.06254518893516599
Earth Mover's Distance,without_noise,log_96_1687182073,300,2,"[352, 924, 1794, 2806]","[805, 1076, 1645, 1910, 2579, 2949]",0.6,126.0,00:00:00,0.3096525575965643,7.51037006055213e-05
Earth Mover's Distance,with_noise_15,log_84_1687182047,100,2,"[216, 1338]",[1338],0.6666666666666666,0.0,00:00:13,13.063191017135978,0.005124829743874452
Earth Mover's Distance,with_noise_10,log_61_1687182016,100,2,[],"[1128, 1415]",,,00:00:01,1.8238658104091883,0.0007096754126105791
Earth Mover's Distance,with_noise_5,log_70_1687182031,300,2,[606],[608],1.0,2.0,00:00:14,14.85213560052216,0.010096625153312142
Earth Mover's Distance,with_noise_5,log_19_1687181938,300,2,[],[771],,,00:00:09,9.272952750325203,0.006223458221694767
Earth Mover's Distance,with_noise_5,log_55_1687182006,300,2,[1340],"[1185, 1392]",0.6666666666666666,52.0,00:00:03,3.1863109171390533,0.0011578164669836675
Earth Mover's Distance,with_noise_15,log_31_1687181960,100,2,"[1042, 2024, 3568]","[1043, 1868, 2070, 3338, 3677]",0.7499999999999999,52.0,00:07:21,441.20000252872705,0.10243789239116022
Earth Mover's Distance,without_noise,log_70_1687182031,300,2,[600],[608],1.0,8.0,00:00:12,12.748353512957692,0.00866645378175234
Earth Mover's Distance,with_noise_15,log_98_1687182076,200,2,[1074],"[896, 1153]",0.6666666666666666,79.0,00:00:08,8.951935425400734,0.005077671823823445
Earth Mover's Distance,without_noise,log_55_1687182006,100,2,[1360],"[1185, 1392]",0.6666666666666666,32.0,00:00:00,0.16662711277604103,6.054764272385212e-05
Earth Mover's Distance,with_noise_10,log_4_1687181921,200,2,"[906, 1410]","[1313, 1543]",0.5,97.0,00:00:03,3.0895381588488817,0.0011725002500375262
Earth Mover's Distance,without_noise,log_29_1687181956,100,2,[672],"[516, 766]",0.6666666666666666,94.0,00:00:02,2.0014392603188753,0.0013237032144966107
Earth Mover's Distance,with_noise_15,log_94_1687182067,300,2,"[660, 1670, 1994, 2604, 3100]","[517, 868, 1998, 2959, 3215]",0.6,87.33333333333333,00:00:14,14.233878226950765,0.0033436406452785447
Earth Mover's Distance,with_noise_10,log_9_1687181928,200,2,"[1134, 1562, 1914, 2264, 2842]","[1135, 1916, 2696, 2989]",0.6666666666666665,49.666666666666664,00:00:11,11.810940885916352,0.002632844602299677
