Algorithm,Log Source,Log,Window Size,SW Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Maaradji Runs,without_noise,log_71_1687182031,300,2,"[942, 1974, 3292]","[940, 1158, 1961, 2167, 3303, 3626]",0.6666666666666666,8.666666666666666,00:01:27,87.97338115144521,0.0195019687766449
Maaradji Runs,with_noise_20,log_71_1687182031,50,2,[],"[940, 1158, 1961, 2167, 3303, 3626]",,,00:00:06,6.064622319303453,0.0013444075192426
Maaradji Runs,with_noise_10,log_72_1687182033,100,2,[],"[661, 974]",,,00:00:08,8.544717566110194,0.0056438028838244
Maaradji Runs,with_noise_20,log_72_1687182033,250,2,[],"[661, 974]",,,00:00:08,8.148353299126029,0.0053820035000832
Maaradji Runs,with_noise_10,log_72_1687182033,300,2,[],"[661, 974]",,,00:00:08,8.708589692600071,0.0057520407480845
Maaradji Runs,without_noise,log_72_1687182033,50,2,[],"[661, 974]",,,00:01:17,77.95033614244312,0.0514863514811381
Maaradji Runs,with_noise_20,log_73_1687182035,100,2,[],"[1478, 2417, 2951, 3283]",,,00:00:03,3.021974449045956,0.0006787903075125
Maaradji Runs,with_noise_20,log_73_1687182035,150,2,[],"[1478, 2417, 2951, 3283]",,,00:00:02,2.856322867795825,0.0006415819559289
Maaradji Runs,without_noise,log_73_1687182035,200,2,"[1416, 2354, 3012]","[1478, 2417, 2951, 3283]",0.8571428571428571,62.0,00:00:02,2.297014217823744,0.0005159510821706
Maaradji Runs,without_noise,log_73_1687182035,250,2,"[1398, 2338, 2992]","[1478, 2417, 2951, 3283]",0.8571428571428571,66.66666666666667,00:00:01,1.3916553808376193,0.0003125910558934
Maaradji Runs,without_noise,log_73_1687182035,300,2,"[1384, 2322, 2986]","[1478, 2417, 2951, 3283]",0.8571428571428571,74.66666666666667,00:00:02,2.4874529279768467,0.000558727072771
Maaradji Runs,with_noise_20,log_73_1687182035,50,2,[],"[1478, 2417, 2951, 3283]",,,00:00:01,1.51737096067518,0.0003408290567554
Maaradji Runs,with_noise_10,log_74_1687182036,150,2,[],[839],,,00:00:01,1.453842836432159,0.0010362386574712
Maaradji Runs,with_noise_20,log_74_1687182036,200,2,[],[839],,,00:00:01,1.7796311369165778,0.0012684469970895
Maaradji Runs,with_noise_10,log_74_1687182036,250,2,[],[839],,,00:00:01,1.5571681605651977,0.0011098846475874
Maaradji Runs,with_noise_20,log_74_1687182036,50,2,[],[839],,,00:00:01,1.8342254497110844,0.0013073595507562
Maaradji Runs,without_noise,log_75_1687182036,100,2,[],"[1099, 1445]",,,00:00:05,5.316883155144751,0.0022868314645783
Maaradji Runs,with_noise_10,log_75_1687182036,250,2,[1130],"[1099, 1445]",0.6666666666666666,31.0,00:00:02,2.4206371642649174,0.0010411342641999
