Algorithm,Log Source,Log,Complete-Window Size,Detection-Window Size,Stable Period,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
LCDD,with_noise_20,log_13_1687181932,400,400,150,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.0836777994409203,1.8846351225432512e-05
LCDD,with_noise_10,log_13_1687181932,400,400,20,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1739108581095934,3.916911218684536e-05
LCDD,without_noise,log_13_1687181932,400,400,200,[626],"[627, 835, 1407, 2856, 3239]",0.3333333333333333,1.0,00:00:00,0.1130461283028125,2.546083970784067e-05
LCDD,with_noise_10,log_13_1687181932,600,600,10,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1570968115702271,3.538216476806918e-05
LCDD,with_noise_10,log_13_1687181932,600,600,100,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1744220163673162,3.928423792056672e-05
LCDD,with_noise_10,log_13_1687181932,600,600,150,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1510923476889729,3.402980803805697e-05
LCDD,without_noise,log_13_1687181932,600,600,20,[626],"[627, 835, 1407, 2856, 3239]",0.3333333333333333,1.0,00:00:00,0.0528743471950292,1.190863675563722e-05
LCDD,without_noise,log_13_1687181932,600,600,5,[626],"[627, 835, 1407, 2856, 3239]",0.3333333333333333,1.0,00:00:00,0.098052860237658,2.2083977531004054e-05
LCDD,with_noise_20,log_13_1687181932,800,800,10,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1549115804955363,3.4889995607102773e-05
LCDD,with_noise_20,log_13_1687181932,800,800,100,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.147447807714343,3.320896570142862e-05
LCDD,with_noise_20,log_13_1687181932,800,800,150,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1515907598659396,3.414206303286928e-05
LCDD,without_noise,log_13_1687181932,800,800,20,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.0548912417143583,1.2362892278008632e-05
LCDD,with_noise_20,log_13_1687181932,800,800,200,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1508209314197302,3.396867824768698e-05
LCDD,with_noise_20,log_13_1687181932,800,800,50,[],"[627, 835, 1407, 2856, 3239]",,,00:00:00,0.1535116573795676,3.4574697608010724e-05
LCDD,with_noise_10,log_14_1687181933,100,100,100,[111],[1179],,,00:00:00,0.0329598141834139,1.7625569082039564e-05
LCDD,with_noise_10,log_14_1687181933,100,100,150,[111],[1179],,,00:00:00,0.0541338250041008,2.894856952090952e-05
LCDD,with_noise_10,log_14_1687181933,100,100,20,[111],[1179],,,00:00:00,0.0509347198531031,2.723781810326372e-05
LCDD,with_noise_10,log_14_1687181933,100,100,200,[111],[1179],,,00:00:00,0.0535239540040493,2.862243529628305e-05
LCDD,with_noise_10,log_14_1687181933,100,100,5,[111],[1179],,,00:00:00,0.0321114985272288,1.7171924346111675e-05
LCDD,without_noise,log_14_1687181933,100,100,50,[],[1179],,,00:00:00,0.0476366989314556,2.5474170551580542e-05
LCDD,with_noise_10,log_14_1687181933,1200,1200,100,[],[1179],,,00:00:00,0.0298552215099334,1.596535909622111e-05
LCDD,without_noise,log_14_1687181933,1200,1200,20,[],[1179],,,00:00:00,0.0130931669846177,7.0016935746618775e-06
