Algorithm,Log Source,Log,P-Value,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),Seconds per Case
Martjushev ADWIN J,with_noise_10,log_18_1687181937,0.4,100,500,20,[],"[1013, 1325]",,,00:00:44,44.00305920932442,0.0208545304309594
Martjushev ADWIN J,without_noise,log_18_1687181937,0.4,100,600,10,[],"[1013, 1325]",,,00:00:32,32.209955140948296,0.0152653815833878
Martjushev ADWIN J,with_noise_20,log_18_1687181937,0.4,100,700,20,[],"[1013, 1325]",,,00:00:39,39.41885092202574,0.0186819198682586
Martjushev ADWIN J,with_noise_20,log_18_1687181937,0.4,200,400,20,[],"[1013, 1325]",,,00:00:39,39.6779773728922,0.0188047286127451
Martjushev ADWIN J,with_noise_20,log_18_1687181937,0.4,200,500,20,[],"[1013, 1325]",,,00:00:42,42.24532988481224,0.0200214833577309
Martjushev ADWIN J,with_noise_20,log_18_1687181937,0.4,200,600,10,[],"[1013, 1325]",,,00:00:58,58.71863656491041,0.0278287377084883
Martjushev ADWIN J,without_noise,log_18_1687181937,0.4,200,700,20,[],"[1013, 1325]",,,00:00:31,31.56678266171366,0.0149605605031818
Martjushev ADWIN J,with_noise_20,log_18_1687181937,0.4,300,400,20,[],"[1013, 1325]",,,00:00:40,40.11107869725674,0.0190099899039131
Martjushev ADWIN J,with_noise_10,log_18_1687181937,0.4,300,500,50,[],"[1013, 1325]",,,00:00:21,21.93061326164752,0.0103936555742405
Martjushev ADWIN J,with_noise_20,log_18_1687181937,0.4,300,600,50,[],"[1013, 1325]",,,00:00:34,34.48361718934029,0.0163429465352323
Martjushev ADWIN J,with_noise_10,log_18_1687181937,0.4,300,700,50,[],"[1013, 1325]",,,00:00:37,37.05978985037655,0.017563881445676
Martjushev ADWIN J,with_noise_10,log_18_1687181937,0.4,400,400,10,[],"[1013, 1325]",,,00:00:45,45.568606588989496,0.021596496013739
Martjushev ADWIN J,with_noise_20,log_18_1687181937,0.4,400,500,50,[],"[1013, 1325]",,,00:00:33,33.72172294091433,0.0159818592137034
Martjushev ADWIN J,with_noise_10,log_18_1687181937,0.4,400,600,20,[],"[1013, 1325]",,,00:00:39,39.8738610278815,0.0188975644681902
Martjushev ADWIN J,with_noise_20,log_18_1687181937,0.4,400,700,10,[],"[1013, 1325]",,,00:00:53,53.3517619818449,0.0252851952520591
Martjushev ADWIN J,with_noise_20,log_19_1687181938,0.4,100,400,50,[],[771],,,00:00:16,16.90949577279389,0.0113486548810697
Martjushev ADWIN J,with_noise_20,log_19_1687181938,0.4,100,700,50,[],[771],,,00:00:17,17.32473844103515,0.011627341235594
Martjushev ADWIN J,without_noise,log_19_1687181938,0.4,200,400,50,[],[771],,,00:00:15,15.220553355291486,0.0102151364800614
